time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
2281,0,0,0,14,1
2291,0,0,0,15,0
2297,0,0,0,14,1
2307,0,0,0,15,0
2394,0,0,0,14,1
2404,0,0,0,15,0
2427,0,0,0,14,1
2437,0,0,0,15,0
2445,0,0,0,14,1
2455,0,0,0,15,0
2532,0,0,0,14,1
2542,0,0,0,15,0
2605,0,0,0,14,1
2615,0,0,0,15,0
2628,0,0,0,14,1
2638,0,0,0,15,0
2684,0,0,0,14,1
2694,0,0,0,15,0
2706,0,0,0,14,1
2716,0,0,0,15,0
2766,0,0,0,14,1
2776,0,0,0,15,0
2784,0,0,0,14,1
2794,0,0,0,15,0
2797,0,0,0,14,1
2807,0,0,0,15,0
2818,0,0,0,14,1
2828,0,0,0,15,0
2855,0,0,0,14,1
2865,0,0,0,15,0
2891,0,0,0,14,1
2901,0,0,0,15,0
2929,0,0,0,14,1
2939,0,0,0,15,0
2949,0,0,0,14,1
2959,0,0,0,15,0
2966,0,0,0,14,1
2976,0,0,0,15,0
3067,0,0,0,14,1
3077,0,0,0,15,0
3112,0,0,0,14,1
3122,0,0,0,15,0
3157.01,0,0,0,14,1
3167.01,0,0,0,15,0
3225,0,0,0,14,1
3235,0,0,0,15,0
3245,0,0,0,14,1
3255,0,0,0,15,0
3263,0,0,0,14,1
3273,0,0,0,15,0
3301,0,0,0,14,1
3311,0,0,0,15,0
3320,0,0,0,14,1
3330,0,0,0,15,0
3361,0,0,0,14,1
3371,0,0,0,15,0
3372,0,0,0,14,1
3382,0,0,0,15,0
3396,0,0,0,14,1
3406,0,0,0,15,0
